Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019];rank
GDP (current US$);NY.GDP.MKTP.CD;Argentina;ARG;519871519808;449663446954;25
GDP (current US$);NY.GDP.MKTP.CD;Australia;AUS;1433904348500;1392680589329;14
GDP (current US$);NY.GDP.MKTP.CD;Austria;AUT;455508255028;446314739528;27
GDP (current US$);NY.GDP.MKTP.CD;Bangladesh;BGD;274039092455;302571254131;40
GDP (current US$);NY.GDP.MKTP.CD;Belgium;BEL;542685915417;529606710418;24
GDP (current US$);NY.GDP.MKTP.CD;Brazil;BRA;1885482534238;1839758040766;9
GDP (current US$);NY.GDP.MKTP.CD;Canada;CAN;1716262621082;1736425629520;10
GDP (current US$);NY.GDP.MKTP.CD;Chile;CHL;298258019275;282318159745;41
GDP (current US$);NY.GDP.MKTP.CD;China;CHN;13894817110036;14342902842916;2
GDP (current US$);NY.GDP.MKTP.CD;Colombia;COL;333568926393;323802808108;38
GDP (current US$);NY.GDP.MKTP.CD;Czech Republic;CZE;244987409831;246489245495;46
GDP (current US$);NY.GDP.MKTP.CD;Denmark;DNK;355675329086;348078018464;37
GDP (current US$);NY.GDP.MKTP.CD;Egypt, Arab Rep.;EGY;250894760351;303175127598;39
GDP (current US$);NY.GDP.MKTP.CD;Finland;FIN;275893681356;268761201365;43
GDP (current US$);NY.GDP.MKTP.CD;France;FRA;2787863958885;2715518274227;7
GDP (current US$);NY.GDP.MKTP.CD;Germany;DEU;3949548833953;3845630030824;4
GDP (current US$);NY.GDP.MKTP.CD;Greece;GRC;218138367445;209852761469;50
GDP (current US$);NY.GDP.MKTP.CD;Hong Kong SAR, China;HKG;361693053518;366029556273;34
GDP (current US$);NY.GDP.MKTP.CD;India;IND;2713165057513;2875142314812;5
GDP (current US$);NY.GDP.MKTP.CD;Indonesia;IDN;1042240309413;1119190780753;16
GDP (current US$);NY.GDP.MKTP.CD;Iraq;IRQ;224228010478;234094042939;48
GDP (current US$);NY.GDP.MKTP.CD;Ireland;IRL;382674360766;388698711348;31
GDP (current US$);NY.GDP.MKTP.CD;Israel;ISR;370587977154;395098666122;30
GDP (current US$);NY.GDP.MKTP.CD;Italy;ITA;2085764300862;2001244392042;8
GDP (current US$);NY.GDP.MKTP.CD;Japan;JPN;4954806619995;5081769542380;3
GDP (current US$);NY.GDP.MKTP.CD;Korea, Rep.;KOR;1720578827806;1642383217167;12
GDP (current US$);NY.GDP.MKTP.CD;Malaysia;MYS;358581943446;364701517788;35
GDP (current US$);NY.GDP.MKTP.CD;Mexico;MEX;1220699479846;1258286717125;15
GDP (current US$);NY.GDP.MKTP.CD;Netherlands;NLD;914104847814;909070395161;17
GDP (current US$);NY.GDP.MKTP.CD;Nigeria;NGA;398160403207;448120428859;26
GDP (current US$);NY.GDP.MKTP.CD;Norway;NOR;434166615432;403336363636;29
GDP (current US$);NY.GDP.MKTP.CD;Pakistan;PAK;314567541558;278221906023;42
GDP (current US$);NY.GDP.MKTP.CD;Peru;PER;222044970486;226848050820;49
GDP (current US$);NY.GDP.MKTP.CD;Philippines;PHL;346841896890;376795508680;32
GDP (current US$);NY.GDP.MKTP.CD;Poland;POL;587114101393;592164400688;21
GDP (current US$);NY.GDP.MKTP.CD;Portugal;PRT;241274628877;237686075635;47
GDP (current US$);NY.GDP.MKTP.CD;Romania;ROU;241626953521;250077444017;45
GDP (current US$);NY.GDP.MKTP.CD;Russian Federation;RUS;1669583089323;1699876578871;11
GDP (current US$);NY.GDP.MKTP.CD;Saudi Arabia;SAU;786521831573;792966838162;18
GDP (current US$);NY.GDP.MKTP.CD;Singapore;SGP;373217081851;372062527489;33
GDP (current US$);NY.GDP.MKTP.CD;South Africa;ZAF;368288939768;351431649241;36
GDP (current US$);NY.GDP.MKTP.CD;Spain;ESP;1419735245005;1394116310769;13
GDP (current US$);NY.GDP.MKTP.CD;Sweden;SWE;555455371487;530832908738;23
GDP (current US$);NY.GDP.MKTP.CD;Switzerland;CHE;705140620047;703082435360;20
GDP (current US$);NY.GDP.MKTP.CD;Thailand;THA;506514103905;543649976166;22
GDP (current US$);NY.GDP.MKTP.CD;Turkey;TUR;771350331373;754411708203;19
GDP (current US$);NY.GDP.MKTP.CD;United Arab Emirates;ARE;422215043585;421142267938;28
GDP (current US$);NY.GDP.MKTP.CD;United Kingdom;GBR;2860667727552;2827113184696;6
GDP (current US$);NY.GDP.MKTP.CD;United States;USA;20580223000000;21427700000000;1
GDP (current US$);NY.GDP.MKTP.CD;Vietnam;VNM;245213686369;261921244843;44
GDP (current US$);NY.GDP.MKTP.CD;New Zealand;NZL;207920613962;206928765544;
GDP (current US$);NY.GDP.MKTP.CD;Qatar;QAT;191362087912;183466208791;
GDP (current US$);NY.GDP.MKTP.CD;Kazakhstan;KAZ;179339994859;180161741180;
GDP (current US$);NY.GDP.MKTP.CD;Algeria;DZA;173757952824;169988236398;
GDP (current US$);NY.GDP.MKTP.CD;Hungary;HUN;157882912778;160967157504;
GDP (current US$);NY.GDP.MKTP.CD;Ukraine;UKR;130901858422;153781069118;
GDP (current US$);NY.GDP.MKTP.CD;Kuwait;KWT;140645364238;134761198946;
GDP (current US$);NY.GDP.MKTP.CD;Morocco;MAR;117921394402;118725279596;
GDP (current US$);NY.GDP.MKTP.CD;Ecuador;ECU;107562008000;107435665000;
GDP (current US$);NY.GDP.MKTP.CD;Slovak Republic;SVK;105820499977;105422304976;
GDP (current US$);NY.GDP.MKTP.CD;Puerto Rico;PRI;100979900000;104988600000;
GDP (current US$);NY.GDP.MKTP.CD;Ethiopia;ETH;84269348327;96107662398;
GDP (current US$);NY.GDP.MKTP.CD;Kenya;KEN;87778582964;95503088538;
GDP (current US$);NY.GDP.MKTP.CD;Angola;AGO;101353230785;94635415870;
GDP (current US$);NY.GDP.MKTP.CD;Dominican Republic;DOM;85555378043;88941298258;
GDP (current US$);NY.GDP.MKTP.CD;Sri Lanka;LKA;88425889592;84008783756;
GDP (current US$);NY.GDP.MKTP.CD;Oman;OMN;79275422627;76983094928;
GDP (current US$);NY.GDP.MKTP.CD;Guatemala;GTM;73118147808;76710385880;
GDP (current US$);NY.GDP.MKTP.CD;Myanmar;MMR;76168043982;76085852617;
GDP (current US$);NY.GDP.MKTP.CD;Luxembourg;LUX;70919958016;71104919108;
GDP (current US$);NY.GDP.MKTP.CD;Bulgaria;BGR;66200847918;67927179737;
GDP (current US$);NY.GDP.MKTP.CD;Ghana;GHA;65556464048;66983634224;
GDP (current US$);NY.GDP.MKTP.CD;Panama;PAN;65128200000;66800800000;
GDP (current US$);NY.GDP.MKTP.CD;Tanzania;TZA;58001200572;63177068175;
GDP (current US$);NY.GDP.MKTP.CD;Belarus;BLR;60031262269;63080457023;
GDP (current US$);NY.GDP.MKTP.CD;Costa Rica;CRI;60553901420;61773944174;
GDP (current US$);NY.GDP.MKTP.CD;Croatia;HRV;60991399904;60415553039;
GDP (current US$);NY.GDP.MKTP.CD;Cote d'Ivoire;CIV;57724731365;58792205642;
GDP (current US$);NY.GDP.MKTP.CD;Uzbekistan;UZB;50392607758;57921286440;
GDP (current US$);NY.GDP.MKTP.CD;Uruguay;URY;59596885023;56045912952;
GDP (current US$);NY.GDP.MKTP.CD;Lithuania;LTU;53455170034;54219315600;
GDP (current US$);NY.GDP.MKTP.CD;Macao SAR, China;MAC;55084050790;53859116536;
GDP (current US$);NY.GDP.MKTP.CD;Slovenia;SVN;54034358544;53742159517;
GDP (current US$);NY.GDP.MKTP.CD;Lebanon;LBN;54961275742;53367042272;
GDP (current US$);NY.GDP.MKTP.CD;Libya;LBY;52607888718;52076250948;
GDP (current US$);NY.GDP.MKTP.CD;Serbia;SRB;50597289147;51409167351;
GDP (current US$);NY.GDP.MKTP.CD;Azerbaijan;AZE;47112941176;48047647059;
